epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,938.007,2.20337,3.36954,3.57356,0.23898,0.24037,0.13434,0.04125,2.0924,2.76988,3.10414,0.000665906,0.000665906,0.000665906
2,5715.49,2.00845,2.61789,2.94926,0.3414,0.21334,0.19937,0.07364,1.95703,2.81981,2.93583,0.00120065,0.00120065,0.00120065
3,6713.57,1.88177,2.42496,2.7593,0.34185,0.31755,0.25462,0.0963,1.82739,2.3388,2.69515,0.00160339,0.00160339,0.00160339
4,7426.72,1.77378,2.31563,2.61486,0.3746,0.33692,0.28705,0.12355,1.68862,2.31563,2.50609,0.001406,0.001406,0.001406
5,8124.76,1.69142,2.2013,2.48921,0.47001,0.37873,0.37176,0.1584,1.62651,2.11422,2.40041,0.001208,0.001208,0.001208
6,8840.71,1.63197,2.08215,2.39428,0.53352,0.43621,0.45186,0.20093,1.5709,1.96125,2.29639,0.00101,0.00101,0.00101
7,9616.53,1.5835,2.01955,2.33273,0.53216,0.41592,0.43699,0.20311,1.54948,2.00142,2.28453,0.000812,0.000812,0.000812
8,10475.8,1.52069,1.94025,2.25713,0.60712,0.46601,0.51722,0.24348,1.50192,1.83531,2.19409,0.000614,0.000614,0.000614
9,11257.8,1.49615,1.86126,2.1962,0.63621,0.48545,0.5423,0.26443,1.43911,1.77718,2.13989,0.000416,0.000416,0.000416
10,12054.8,1.44958,1.82225,2.15892,0.63599,0.51122,0.57098,0.28752,1.40122,1.7367,2.09132,0.000218,0.000218,0.000218
